,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
6620,宮越,721.0,51.0,10192.960784313726,宮越ホールディングス,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8361,大垣共立銀行,628.0,38.7,10190.80103359173,大垣共立銀行,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
4020,ビートレンド,640.0,40.2,10189.054726368158,ビートレンド,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7358,ポピンズ,683.0,45.8,10185.349344978167,ポピンズ,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8850,スターツコーポレーション,615.0,37.15,10181.022880215343,スターツコーポレーション,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
6342,太平製作所,626.0,38.5,10178.597402597403,太平製作所,スタンダード（内国株式）,機械,機械,産業＆建設,製造
9367,大東港運,642.0,40.5,10176.888888888889,大東港運,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流,産業＆建設,サービス
9995,グローセル,663.0,43.2,10175.208333333332,グローセル,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
6798,SMK,681.0,45.6,10170.197368421052,ＳＭＫ,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
8908,毎日コムネット,608.0,36.4,10155.604395604396,毎日コムネット,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
1807,佐藤渡辺,679.0,45.4,10155.088105726873,佐藤渡辺,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
5992,中央発條,679.0,45.4,10155.088105726873,中央発條,スタンダード（内国株式）,金属製品,建設・資材,産業＆建設,製造
5191,住友理工,646.0,41.1,10153.67396593674,住友理工,プライム（内国株式）,ゴム製品,自動車・輸送機,テクノロジー＆サービス,製造
4800,オリコン,653.0,42.0,10152.595238095239,オリコン,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6481,THK,642.0,40.6,10151.822660098522,ＴＨＫ,プライム（内国株式）,機械,機械,産業＆建設,製造
8387,四国銀行,622.0,38.11,10151.771188664392,四国銀行,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
